,train precision,val precision,test precision,train recall,val recall,test recall,train f1,val f1,test f1
Abstract_Expressionism,0.8511326860841424,0.6741214057507987,0.6510067114093959,0.946043165467626,0.7589928057553957,0.6928571428571428,0.8960817717206133,0.7140439932318104,0.6712802768166091
Art_Nouveau_Modern,0.8105323411562679,0.5367647058823529,0.6,0.8161383285302594,0.522673031026253,0.5797752808988764,0.813325674899483,0.5296251511487303,0.5897142857142857
Baroque,0.8611817924795024,0.6469194312796208,0.6361556064073226,0.8937793427230047,0.6594202898550725,0.6650717703349283,0.8771778257739382,0.65311004784689,0.6502923976608187
Cubism,0.8421965317919076,0.6274509803921569,0.6699029126213593,0.8269012485811578,0.5541125541125541,0.5702479338842975,0.8344788087056128,0.5885057471264369,0.6160714285714286
Expressionism,0.7813562712542509,0.4975206611570248,0.5113636363636364,0.7236013338273435,0.4413489736070381,0.4801829268292683,0.7513705876695201,0.4677544677544678,0.4952830188679246
Impressionism,0.8039471396278908,0.6210045662100456,0.6501925545571245,0.8858128173196667,0.7443315089913995,0.7559701492537313,0.8428968597602661,0.6770981507823614,0.699102829537612
Naive_Art_Primitivism,0.7004255319148937,0.473186119873817,0.4600638977635782,0.8410832907511497,0.6550218340611353,0.6575342465753424,0.764337125609473,0.5494505494505495,0.5413533834586466
Northern_Renaissance,0.8257869771453212,0.6298507462686567,0.6024464831804281,0.9489593657086224,0.7429577464788732,0.788,0.883098916301591,0.6817447495961227,0.682842287694974
Post_Impressionism,0.6972828166858017,0.4710860366713681,0.4527439024390244,0.7023901310717039,0.5083713850837138,0.4909090909090909,0.6998271557518724,0.4890190336749633,0.4710547184773989
Realism,0.8302964042759962,0.5921450151057401,0.6121031746031746,0.796156086196855,0.5490196078431373,0.5728876508820798,0.8128679312600345,0.5697674418604651,0.5918465227817746
Rococo,0.9125,0.7112676056338029,0.7894736842105263,0.7793594306049823,0.505,0.4433497536945813,0.8406909788867563,0.5906432748538012,0.5678233438485806
Romanticism,0.8804573804573804,0.6491862567811935,0.6254355400696864,0.7554405993578309,0.5028011204481793,0.5135908440629471,0.8131720430107527,0.5666929755327546,0.5640219952867243
Symbolism,0.7954616101958346,0.5471204188481675,0.5368421052631579,0.7134095344298857,0.4563318777292576,0.422360248447205,0.7522045855379189,0.4976190476190477,0.4727694090382387
